hh1,hh2,area,zone,state,hh_members_num,hhsex,hhage,helevel,wi_quintile_mics,urban_wi_quintile_mics,fies_score,hh_mn_mean_age_yrs,hh_wm_mean_age_yrs,hh_mn_mean_life_satisfaction,hh_mn_overall_happiness,hh_wm_mean_life_satisfaction,hh_wm_overall_happiness
1.0,1.0,URBAN,South East,ABIA,4.0,Female,46.0,Primary,Fourth,Middle,7,,28.666666666666668,,,3.3333333333333335,0.0
1.0,2.0,URBAN,South East,ABIA,2.0,Female,45.0,Senior secondary,Fourth,Second,6,,30.5,,,5.5,1.0
1.0,3.0,URBAN,South East,ABIA,5.0,Male,41.0,Senior secondary,Fourth,Middle,5,,34.0,,,4.0,1.0
1.0,4.0,URBAN,South East,ABIA,4.0,Male,81.0,None,Middle,Poorest,7,33.0,38.0,5.0,0.0,8.0,1.0
1.0,5.0,URBAN,South East,ABIA,5.0,Male,63.0,Primary,Fourth,Middle,7,,23.0,,,4.0,1.0
1.0,6.0,URBAN,South East,ABIA,5.0,Male,54.0,Senior secondary,Fourth,Middle,5,24.0,27.0,5.0,1.0,7.0,2.0
1.0,7.0,URBAN,South East,ABIA,3.0,Male,45.0,Higher/tertiary,Richest,Fourth,6,,43.0,,,10.0,1.0
1.0,8.0,URBAN,South East,ABIA,1.0,Male,34.0,Senior secondary,Fourth,Middle,5,34.0,,4.0,0.0,,
1.0,9.0,URBAN,South East,ABIA,2.0,Male,73.0,Primary,Middle,Second,6,,,,,,
1.0,10.0,URBAN,South East,ABIA,6.0,Male,41.0,Senior secondary,Richest,Fourth,7,41.0,35.0,3.0,0.0,5.0,1.0
1.0,11.0,URBAN,South East,ABIA,1.0,Male,31.0,Senior secondary,Fourth,Middle,3,,,,,,
1.0,12.0,URBAN,South East,ABIA,3.0,Female,43.0,Senior secondary,Richest,Fourth,4,17.0,43.0,4.0,0.0,5.0,0.0
1.0,13.0,URBAN,South East,ABIA,4.0,Male,39.0,Higher/tertiary,Fourth,Middle,6,,37.0,,,6.0,1.0
1.0,14.0,URBAN,South East,ABIA,2.0,Male,33.0,Senior secondary,Fourth,Middle,7,32.0,,5.0,0.0,,
1.0,15.0,URBAN,South East,ABIA,6.0,Male,40.0,Senior secondary,Fourth,Middle,2,,36.0,,,10.0,1.0
1.0,16.0,URBAN,South East,ABIA,6.0,Male,53.0,Primary,Middle,Poorest,7,,42.0,,,3.0,0.0
1.0,17.0,URBAN,South East,ABIA,2.0,Male,75.0,Higher/tertiary,Richest,Fourth,8,,,,,,
1.0,18.0,URBAN,South East,ABIA,4.0,Male,67.0,Primary,Fourth,Middle,8,27.0,,4.5,0.0,,
1.0,19.0,URBAN,South East,ABIA,9.0,Male,68.0,Higher/tertiary,Richest,Richest,8,,35.5,,,5.0,2.0
1.0,20.0,URBAN,South East,ABIA,6.0,Male,47.0,Senior secondary,Richest,Fourth,8,31.0,41.0,4.0,1.0,9.0,1.0
2.0,1.0,URBAN,South East,ABIA,5.0,Male,36.0,Senior secondary,Richest,Fourth,0,,32.0,,,5.0,1.0
2.0,2.0,URBAN,South East,ABIA,4.0,Male,39.0,Higher/tertiary,Richest,Richest,0,39.0,31.0,5.0,1.0,5.0,1.0
2.0,3.0,URBAN,South East,ABIA,3.0,Male,44.0,Higher/tertiary,Richest,Richest,0,,34.0,,,5.0,1.0
2.0,4.0,URBAN,South East,ABIA,5.0,Male,42.0,Higher/tertiary,Richest,Richest,0,42.0,36.0,5.0,1.0,6.0,1.0
2.0,5.0,URBAN,South East,ABIA,2.0,Female,22.0,Senior secondary,Fourth,Middle,6,,22.0,,,3.0,0.0
2.0,6.0,URBAN,South East,ABIA,1.0,Male,37.0,Higher/tertiary,Richest,Richest,6,37.0,,4.0,1.0,,
2.0,7.0,URBAN,South East,ABIA,4.0,Male,39.0,Senior secondary,Richest,Richest,5,,35.0,,,4.0,1.0
2.0,8.0,URBAN,South East,ABIA,4.0,Female,47.0,Senior secondary,Fourth,Middle,6,25.0,30.0,6.0,1.0,3.3333333333333335,0.0
2.0,9.0,URBAN,South East,ABIA,3.0,Male,50.0,Junior secondary,Middle,Second,6,,44.0,,,4.0,0.0
2.0,10.0,URBAN,South East,ABIA,2.0,Female,66.0,None,Fourth,Second,6,,30.0,,,4.0,1.0
2.0,11.0,URBAN,South East,ABIA,5.0,Female,52.0,None,Middle,Second,7,,18.0,,,4.0,2.0
2.0,12.0,URBAN,South East,ABIA,1.0,Male,63.0,Primary,Fourth,Second,7,,,,,,
2.0,13.0,URBAN,South East,ABIA,8.0,Male,51.0,Primary,Fourth,Middle,8,,26.666666666666668,,,3.6666666666666665,3.0
2.0,14.0,URBAN,South East,ABIA,1.0,Female,50.0,Primary,Fourth,Second,6,,,,,,
2.0,15.0,URBAN,South East,ABIA,1.0,Male,64.0,Primary,Fourth,Second,8,,,,,,
2.0,16.0,URBAN,South East,ABIA,4.0,Male,63.0,Junior secondary,Fourth,Second,5,17.0,15.0,7.0,1.0,4.0,1.0
2.0,17.0,URBAN,South East,ABIA,2.0,Female,60.0,Primary,Fourth,Second,0,,32.0,,,6.0,1.0
2.0,18.0,URBAN,South East,ABIA,1.0,Male,70.0,Primary,Fourth,Second,5,,,,,,
2.0,19.0,URBAN,South East,ABIA,2.0,Male,47.0,Senior secondary,Fourth,Second,0,,36.0,,,4.0,1.0
