hh1,hh2,hh6,hh7,zone,ln,mn_age_yrs,mn_attended_sch,mn_mstatus,mma1,mwage,mn_overall_happiness,mn_life_satisfaction,mn_life_satisfaction_last_year,mn_life_satisfaction_expectation,mn_education,windex5,survey,consent,mnweight
1.0,4.0,URBAN,ABIA,South East,3.0,33.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,5,WORSENED,MORE OR LESS THE SAME,Higher/tertiary,Middle,MICS,YES,0.584324626143939
1.0,6.0,URBAN,ABIA,South East,3.0,24.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Fourth,MICS,YES,0.584324626143939
1.0,8.0,URBAN,ABIA,South East,1.0,34.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.584324626143939
1.0,10.0,URBAN,ABIA,South East,1.0,41.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.584324626143939
1.0,12.0,URBAN,ABIA,South East,3.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.584324626143939
1.0,14.0,URBAN,ABIA,South East,1.0,33.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.584324626143939
1.0,14.0,URBAN,ABIA,South East,2.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Fourth,MICS,YES,0.584324626143939
1.0,18.0,URBAN,ABIA,South East,3.0,29.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Fourth,MICS,YES,0.584324626143939
1.0,18.0,URBAN,ABIA,South East,4.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,NEITHER HAPPY NOR UNHAPPY,4,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Higher/tertiary,Fourth,MICS,YES,0.584324626143939
1.0,20.0,URBAN,ABIA,South East,1.0,47.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.584324626143939
1.0,20.0,URBAN,ABIA,South East,3.0,15.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Richest,MICS,YES,0.584324626143939
2.0,2.0,URBAN,ABIA,South East,1.0,39.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.389549750762626
2.0,4.0,URBAN,ABIA,South East,1.0,42.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.389549750762626
2.0,6.0,URBAN,ABIA,South East,1.0,37.0,YES,Never married/in union,"NO, NOT IN UNION",35-39,SOMEWHAT HAPPY,4,IMPROVED,BETTER,Higher/tertiary,Richest,MICS,YES,0.389549750762626
2.0,8.0,URBAN,ABIA,South East,2.0,25.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Fourth,MICS,YES,0.389549750762626
2.0,16.0,URBAN,ABIA,South East,3.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,7,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.389549750762626
2.0,20.0,URBAN,ABIA,South East,1.0,46.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",45-49,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.389549750762626
3.0,6.0,URBAN,ABIA,South East,1.0,38.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,8,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Richest,MICS,YES,0.340337123594949
3.0,8.0,URBAN,ABIA,South East,1.0,28.0,YES,Never married/in union,"NO, NOT IN UNION",25-29,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.340337123594949
3.0,10.0,URBAN,ABIA,South East,1.0,37.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.340337123594949
3.0,12.0,URBAN,ABIA,South East,1.0,33.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",30-34,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.340337123594949
3.0,14.0,URBAN,ABIA,South East,4.0,17.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,8,MORE OR LESS THE SAME,BETTER,Junior secondary,Fourth,MICS,YES,0.340337123594949
3.0,20.0,URBAN,ABIA,South East,2.0,31.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,NEITHER HAPPY NOR UNHAPPY,8,MORE OR LESS THE SAME,MORE OR LESS THE SAME,Senior secondary,Middle,MICS,YES,0.340337123594949
4.0,2.0,URBAN,ABIA,South East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,8,IMPROVED,BETTER,Senior secondary,Middle,MICS,YES,0.379606791702058
4.0,4.0,URBAN,ABIA,South East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,VERY UNHAPPY,1,MORE OR LESS THE SAME,BETTER,Senior secondary,Middle,MICS,YES,0.379606791702058
4.0,6.0,URBAN,ABIA,South East,3.0,21.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT HAPPY,6,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,6.0,URBAN,ABIA,South East,5.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,2,WORSENED,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,8.0,URBAN,ABIA,South East,5.0,20.0,YES,Never married/in union,"NO, NOT IN UNION",20-24,SOMEWHAT UNHAPPY,3,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,8.0,URBAN,ABIA,South East,6.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,NEITHER HAPPY NOR UNHAPPY,5,MORE OR LESS THE SAME,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,8.0,URBAN,ABIA,South East,7.0,16.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,10.0,URBAN,ABIA,South East,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
4.0,12.0,URBAN,ABIA,South East,4.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
4.0,16.0,URBAN,ABIA,South East,2.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
4.0,18.0,URBAN,ABIA,South East,3.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
4.0,18.0,URBAN,ABIA,South East,4.0,18.0,YES,Never married/in union,"NO, NOT IN UNION",15-19,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.379606791702058
4.0,18.0,URBAN,ABIA,South East,5.0,,,,,,,,,,,0.0,MICS,NO / NOT ASKED,0.0
4.0,20.0,URBAN,ABIA,South East,1.0,41.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT UNHAPPY,3,IMPROVED,BETTER,Senior secondary,Richest,MICS,YES,0.379606791702058
5.0,1.0,URBAN,ABIA,South East,1.0,42.0,YES,Never married/in union,"NO, NOT IN UNION",40-44,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Higher/tertiary,Fourth,MICS,YES,0.418876459809168
5.0,1.0,URBAN,ABIA,South East,3.0,30.0,YES,Never married/in union,"NO, NOT IN UNION",30-34,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Higher/tertiary,Fourth,MICS,YES,0.418876459809168
5.0,7.0,URBAN,ABIA,South East,1.0,39.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",35-39,SOMEWHAT HAPPY,6,IMPROVED,BETTER,Senior secondary,Fourth,MICS,YES,0.418876459809168
5.0,9.0,URBAN,ABIA,South East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,7,MORE OR LESS THE SAME,BETTER,Junior secondary,Fourth,MICS,YES,0.418876459809168
5.0,11.0,URBAN,ABIA,South East,1.0,40.0,YES,Currently married/in union,"YES, CURRENTLY MARRIED",40-44,SOMEWHAT HAPPY,5,IMPROVED,BETTER,Primary,Fourth,MICS,YES,0.418876459809168
